treated,age,educ,nodegree,married,black,hisp,moa,re75,re76,re77,re78,re79,re74,afdc75,nchildren75,zero74,zero75,redif,lalonde,psid1,psid2,sample_lalonde,sample_dw,sample_early,sample
0,42,10,1,0,1,0,-8,0,0,0,0,0,0,1,2,1,1,0,1,0,0,1,1,,1
0,35,14,0,0,1,0,-17,0,724.7764,1133.379,,0,0,1,2,1,1,0,1,0,0,1,1,1,1
0,33,11,1,0,1,0,-11,,,1026.112,8783.402,0,,1,3,0,0,,0,0,0,1,,,1
1,42,12,0,0,1,0,-15,0,1817.556,4240.292,0,,0,1,0,1,1,,0,0,0,1,1,1,1
0,44,10,1,0,1,0,-12,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,,1
1,24,11,1,0,1,0,-13,0,824.4993,8920.306,,0,0,1,1,1,1,0,1,0,0,1,1,1,1
0,38,10,1,0,1,0,-10,1473.577,633.364,0,0,4164.98,1473.577,1,1,0,0,2691.404,1,0,0,1,,,1
1,38,12,0,0,1,0,-9,0,0,6211.273,2630.945,0,0,1,3,1,1,0,1,0,0,1,1,,1
1,24,7,1,0,1,0,-15,1184.078,1324.496,1300.711,0,0,1578.77,1,1,0,0,-1184.078,1,0,0,1,1,1,1
0,25,9,1,0,1,0,-10,0,0,8587.385,13018.55,,0,1,2,1,1,,0,0,0,1,1,,1
0,25,11,1,0,1,0,-20,981.9031,449.3027,744.4553,,,2945.709,1,1,0,0,,0,0,0,1,1,1,1
0,43,10,1,0,0,0,-7,0,0,,,,0,1,5,1,1,,0,0,0,1,1,,1
1,34,9,1,0,0,1,-11,0,0,6856.483,0,0,0,1,5,1,1,0,1,0,0,1,1,,1
0,34,10,1,0,1,0,-11,0,0,,13065.2,0,0,1,4,1,1,0,1,0,0,1,1,,1
1,27,14,0,0,1,0,-15,11668.05,,,,,12393.63,1,2,0,0,,0,0,0,1,1,1,1
0,31,11,1,0,1,0,-14,4643.97,151.1396,0,4839.275,5266.092,5210.029,1,2,0,0,622.1221,1,0,0,1,1,1,1
0,25,8,1,0,0,1,-8,0,0,1350.15,9164.132,,0,1,3,1,1,,0,0,0,1,1,,1
1,39,10,1,0,1,0,-15,0,2159.469,6654.864,7583.36,6605.289,0,1,4,1,1,6605.289,1,0,0,1,1,1,1
0,25,10,1,0,1,0,-18,3264.62,0,,,,6529.24,1,2,0,0,,0,0,0,1,1,1,1
1,24,11,1,0,1,0,-12,0,0,3354.005,0,0,0,1,2,1,1,0,1,0,0,1,1,,1
0,34,11,1,0,1,0,-16,0,0,0,,1834.228,0,1,2,1,1,1834.228,1,0,0,1,1,1,1
0,31,11,1,0,1,0,-11,0,0,,,,0,1,1,1,1,,0,0,0,1,1,,1
1,35,10,1,0,1,0,-9,0,0,2596.979,0,0,0,1,3,1,1,0,1,0,0,1,1,,1
0,32,11,1,0,1,0,-19,3792.92,3391.339,8842.952,,9959.433,9103.009,1,5,0,0,6166.513,1,0,0,1,1,1,1
1,32,10,1,0,1,0,-14,0,955.9514,7236.321,8240.047,10425.33,0,1,5,1,1,10425.33,1,0,0,1,1,1,1
0,25,11,1,0,1,0,-22,622.5159,880.3068,0,,9198.589,0,1,1,1,0,8576.073,1,0,0,1,1,1,1
0,27,11,1,0,1,0,-5,0,0,0,0,4704.973,0,1,1,1,1,4704.973,1,0,0,1,1,,1
1,31,12,0,0,1,0,-16,0,4010.004,6559.305,,4174.622,0,1,2,1,1,4174.622,1,0,0,1,1,1,1
0,27,10,1,0,1,0,-9,0,0,6821.865,8404.136,205.1117,0,1,1,1,1,205.1117,1,0,0,1,1,,1
1,27,10,1,0,1,0,-9,0,0,6118.496,1152.791,0,0,1,2,1,1,0,1,0,0,1,1,,1
0,35,12,0,0,1,0,-12,0,0,0,,0,0,1,2,1,1,0,1,0,0,1,1,,1
1,40,9,1,0,0,1,-10,0,0,5645.347,0,0,0,1,5,1,1,0,1,0,0,1,1,,1
0,28,11,1,0,1,0,-17,1231.859,1557.319,597.4654,,0,2111.759,1,1,0,0,-1231.859,1,0,0,1,1,1,1
1,22,12,0,0,1,0,-5,2753.989,2137.266,470.2984,21207.06,,2753.989,1,2,0,0,,0,0,0,1,,,1
0,24,9,1,0,1,0,-13,0,,,,8687.824,0,1,1,1,1,8687.824,1,0,0,1,1,1,1
0,32,12,0,0,1,0,-16,0,0,3992.597,,8092.039,0,1,2,1,1,8092.039,1,0,0,1,1,1,1
1,33,12,0,0,1,0,-12,0,0,,,,0,1,0,1,1,,0,0,0,1,1,,1
1,24,11,1,0,1,0,-7,0,0,3973.353,3230.263,0,0,1,1,1,1,0,1,0,0,1,1,,1
0,26,11,1,0,1,0,-5,8317.997,6886.82,824.4993,326.0894,757.7842,8317.997,1,1,0,0,-7560.213,1,0,0,1,,,1
1,30,12,0,0,1,0,-13,0,118.6792,237.3584,0,0,0,1,4,1,1,0,1,0,0,1,1,1,1
0,46,11,1,0,0,1,-10,0,514.9543,0,0,0,0,1,1,1,1,0,1,0,0,1,1,,1
0,40,8,1,0,1,0,-13,0,0,0,0,0,0,1,2,1,1,0,1,0,0,1,1,1,1
1,37,9,1,0,1,0,-7,0,0,5374.855,4213.136,0,0,1,1,1,1,0,1,0,0,1,1,,1
1,27,11,1,0,1,0,-12,0,0,6557.733,,,0,1,2,1,1,,0,0,0,1,1,,1
0,31,10,1,0,1,0,-6,4741.515,2370.757,3109.809,2782.138,0,4741.515,1,2,0,0,-4741.515,1,0,0,1,,,1
1,26,12,0,0,1,0,-8,0,503.6365,1060.189,0,,0,1,2,1,1,,0,0,0,1,1,,1
0,28,12,0,0,1,0,-9,0,0,0,0,,0,1,1,1,1,,0,0,0,1,1,,1
1,22,7,1,0,1,0,-7,0,0,4197.969,4223.168,1931.247,0,1,1,1,1,1931.247,1,0,0,1,1,,1
1,37,12,0,0,1,0,-9,0,0,2212.177,0,0,0,1,2,1,1,0,1,0,0,1,1,,1
1,33,7,1,0,1,0,-9,0,0,1017.993,8076.407,540.7254,0,1,2,1,1,540.7254,1,0,0,1,1,,1
0,24,8,1,0,1,0,-15,248.7186,899.8079,771.0951,,1144.282,331.6248,1,1,0,0,895.5636,1,0,0,1,1,1,1
0,34,12,0,0,0,0,-17,0,0,0,,913.1331,0,1,2,1,1,913.1331,1,0,0,1,1,1,1
0,28,11,1,0,0,1,-12,0,0,7667.041,8455.103,,0,1,1,1,1,,0,0,0,1,1,,1
0,30,8,1,0,1,0,-16,0,5791.105,5283.371,,7334.006,0,1,3,1,1,7334.006,1,0,0,1,1,1,1
0,42,6,1,0,1,0,-19,0,0,0,,0,0,1,2,1,1,0,1,0,0,1,1,1,1
1,34,9,1,0,1,0,-9,0,0,6218.076,11207.33,11550.23,0,1,4,1,1,11550.23,1,0,0,1,1,,1
0,24,12,0,0,1,0,-11,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,,1
1,34,12,0,0,1,0,-8,3360.751,1120.25,5748.66,2933.402,9583.995,3360.751,1,2,0,0,6223.244,1,0,0,1,,,1
1,24,12,0,0,1,0,-5,10041.65,10669.94,5229.948,9250.327,8918.33,10041.65,1,1,0,0,-1123.323,1,0,0,1,,,1
0,25,10,1,0,1,0,-13,0,712.0917,8677.905,9937.434,8548.767,0,1,1,1,1,8548.767,1,0,0,1,1,1,1
1,25,11,1,0,0,1,-8,0,0,986.8298,7611.05,6881.44,0,1,2,1,1,6881.44,1,0,0,1,1,,1
0,27,9,1,0,0,1,-15,1598.554,1907.557,6807.953,0,,2131.405,1,2,0,0,,0,0,0,1,1,1,1
1,29,11,1,0,1,0,-14,0,1367.685,,,,0,1,3,1,1,,0,0,0,1,1,1,1
0,34,8,1,0,1,0,-11,0,0,0,0,,0,1,5,1,1,,0,0,0,1,1,,1
1,28,9,1,0,1,0,-7,0,0,4518.422,3683.843,,0,1,1,1,1,,0,0,0,1,1,,1
1,53,10,1,0,1,0,-13,0,752.8088,8902.977,,5266.545,0,1,1,1,1,5266.545,1,0,0,1,1,1,1
0,24,9,1,0,0,1,-11,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,,1
0,33,11,1,0,1,0,-15,0,0,0,0,0,0,1,3,1,1,0,1,0,0,1,1,1,1
0,30,10,1,0,1,0,-7,0,0,1547.325,2473.194,4819.49,0,1,4,1,1,4819.49,1,0,0,1,1,,1
1,27,10,1,0,1,0,-13,1013.416,,,0,,819.072,1,1,0,0,,0,0,0,1,1,1,1
0,26,14,0,0,1,0,-6,0,694.1133,0,2339.725,9336.968,0,1,1,1,1,9336.968,1,0,0,1,1,,1
1,24,10,1,0,1,0,-9,2310.583,3783.909,,,,2310.583,1,1,0,0,,0,0,0,1,,,1
1,40,11,1,0,1,0,-12,0,0,9154.619,,,0,1,1,1,1,,0,0,0,1,1,,1
0,35,12,0,0,0,0,-15,1953.843,0,5622.968,5378.514,3475.162,2605.124,1,2,0,0,1521.319,1,0,0,1,1,1,1
1,29,9,1,0,0,1,-21,0,,,,,0,1,3,1,1,,0,0,0,1,1,1,1
1,41,10,1,0,1,0,-11,0,0,9468.646,11665.36,0,0,1,1,1,1,0,1,0,0,1,1,,1
0,31,12,0,0,1,0,-14,0,0,0,,8340.26,0,1,3,1,1,8340.26,1,0,0,1,1,1,1
0,38,8,1,1,1,0,-7,5104.592,3650.459,788.9774,222.7518,0,5104.592,1,4,0,0,-5104.592,1,0,0,1,,,1
0,56,9,1,0,1,0,-17,0,0,0,,0,0,1,1,1,1,0,1,0,0,1,1,1,1
1,20,8,1,0,1,0,-20,2096.57,6920.148,4337.295,,0,1718.255,1,1,0,0,-2096.57,1,0,0,1,1,1,1
0,39,9,1,0,0,0,-15,0,0,0,0,0,0,1,3,1,1,0,1,0,0,1,1,1,1
1,41,12,0,0,1,0,-12,0,0,9564.048,4482.104,10265.77,0,1,2,1,1,10265.77,1,0,0,1,1,,1
1,43,11,1,0,1,0,-18,0,2359.207,5744.266,,15846.49,0,1,4,1,1,15846.49,1,0,0,1,1,1,1
0,29,12,0,0,1,0,-13,11822.93,7266.188,708.368,,4982.421,11863.38,1,2,0,0,-6840.508,1,0,0,1,1,1,1
0,46,8,1,0,1,0,-20,0,0,0,,0,0,1,2,1,1,0,1,0,0,1,1,1,1
1,35,10,1,0,1,0,-12,0,0,8561.887,1457.407,6155.536,0,1,4,1,1,6155.536,1,0,0,1,1,,1
1,50,9,1,0,1,0,-18,0,5082.406,2481.227,,0,0,1,1,1,1,0,1,0,0,1,1,1,1
0,34,11,1,0,1,0,-6,0,0,357.8134,422.3502,2235.124,0,1,0,1,1,2235.124,1,0,0,1,1,,1
1,34,11,1,0,1,0,-12,0,0,9564.048,,10236.03,0,1,3,1,1,10236.03,1,0,0,1,1,,1
1,40,12,0,0,1,0,-15,0,1324.496,0,,,0,1,5,1,1,,0,0,0,1,1,1,1
1,28,10,1,0,1,0,-11,0,0,4382.203,0,0,0,1,3,1,1,0,1,0,0,1,1,,1
1,36,12,0,0,1,0,-6,0,0,5294.12,7814.718,0,0,1,3,1,1,0,1,0,0,1,1,,1
1,48,7,1,0,1,0,-21,0,7086.656,13486.69,,,0,1,3,1,1,,0,0,0,1,1,1,1
0,41,10,1,0,1,0,-13,9383.206,3370.67,4346.512,,0,9415.312,1,2,0,0,-9383.206,1,0,0,1,1,1,1
1,28,11,1,0,1,0,-12,0,1090.345,4308.606,8489.103,0,0,1,0,1,1,0,1,0,0,1,1,,1
0,35,14,0,0,1,0,-11,0,0,,,,0,1,3,1,1,,0,0,0,1,1,,1
1,29,10,1,0,0,1,-8,0,0,5438.544,8969.666,10539.48,0,1,2,1,1,10539.48,1,0,0,1,1,,1
1,25,10,1,0,1,0,-6,0,0,5904.983,2888.595,,0,1,2,1,1,,0,0,0,1,1,,1
0,35,11,1,0,1,0,-14,0,501.8835,5757.513,2251.083,,0,1,5,1,1,,0,0,0,1,1,1,1
1,27,10,1,0,1,0,-10,1074.629,179.1049,5144.378,4085.268,0,1074.629,1,4,0,0,-1074.629,1,0,0,1,,,1
0,37,11,1,0,1,0,-14,359.5953,0,375.3511,0,0,431.5143,1,1,0,0,-359.5953,1,0,0,1,1,1,1
0,32,13,0,0,1,0,-5,0,648.6857,5354.26,895.7902,0,0,1,4,1,1,0,1,0,0,1,1,,1
0,39,8,1,0,1,0,-13,0,0,0,0,0,0,1,6,1,1,0,1,0,0,1,1,1,1
1,24,11,1,0,1,0,-19,300.1014,6735.646,712.1082,,,0,1,3,1,0,,0,0,0,1,1,1,1
0,37,8,1,0,1,0,-11,5206.966,433.9138,0,0,0,5206.966,1,6,0,0,-5206.966,1,0,0,1,,,1
0,33,12,0,0,1,0,-15,1459.934,3173,6562.751,2696.816,447.0085,1342.02,1,2,0,0,-1012.925,1,0,0,1,1,1,1
1,43,9,1,0,1,0,-19,0,5884.834,11089.23,,10477.15,0,1,3,1,1,10477.15,1,0,0,1,1,1,1
1,42,12,0,0,0,0,-16,0,2618.602,10638.19,,10408.81,0,1,2,1,1,10408.81,1,0,0,1,1,1,1
1,26,11,1,0,1,0,-7,2321.621,1084.2,5774.429,5595.298,158.513,2321.621,1,1,0,0,-2163.108,1,0,0,1,,,1
1,24,12,0,0,1,0,-5,786.9132,724.4189,1798.891,0,0,786.9132,1,2,0,0,-786.9132,1,0,0,1,,,1
0,46,8,1,0,1,0,-15,0,4211.167,1060.37,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1
1,27,10,1,0,1,0,-9,0,0,6489.344,2647.646,0,0,1,1,1,1,0,1,0,0,1,1,,1
1,37,12,0,0,0,1,-11,0,0,6988.439,10576.53,10374.41,0,1,3,1,1,10374.41,1,0,0,1,1,,1
1,39,11,1,0,1,0,-18,0,4343.903,8654.422,,,0,1,3,1,1,,0,0,0,1,1,1,1
1,47,9,1,0,1,0,-5,0,0,0,0,,0,1,2,1,1,,0,0,0,1,1,,1
1,46,12,0,0,1,0,-18,0,4775.817,4726.297,,0,0,1,2,1,1,0,1,0,0,1,1,1,1
0,45,9,1,0,1,0,-6,0,320.2175,623.271,531.2592,0,0,1,2,1,1,0,1,0,0,1,1,,1
