data_id,treat,age,education,black,hispanic,married,nodegree,re74,re75,re78
"CPS3",0,30,12,0,0,1,0,20166.73,18347.23,25564.67
"CPS3",0,26,12,0,0,1,0,25862.32,17806.55,25564.67
"CPS3",0,25,16,0,0,1,0,25862.32,15316.21,25564.67
"CPS3",0,42,11,0,0,1,1,21787.05,14265.29,15491.01
"CPS3",0,25,9,1,0,1,1,14829.69,13776.53,0
"CPS3",0,37,9,1,0,1,1,13685.48,12756.05,17833.2
"CPS3",0,32,12,0,0,1,0,19067.58,12625.35,14146.28
"CPS3",0,20,12,1,0,0,0,7392.314,12396.19,17765.23
"CPS3",0,38,9,0,1,1,1,16826.18,12029.18,0
"CPS3",0,39,10,0,0,1,1,16767.41,12022.02,4433.18
"CPS3",0,41,5,0,0,1,1,10785.76,11991.58,19451.31
"CPS3",0,31,14,0,0,1,0,17831.29,11563.69,22094.97
"CPS3",0,34,8,0,0,1,1,8038.872,11404.35,5486.799
"CPS3",0,29,12,0,0,1,0,14768.95,11146.55,6420.722
"CPS3",0,22,14,1,0,1,0,748.4399,11105.37,18208.55
"CPS3",0,42,0,0,1,1,1,2797.833,10929.92,9922.934
"CPS3",0,25,9,0,1,0,1,5460.477,10589.76,7539.361
"CPS3",0,28,9,0,0,1,1,11091.41,10357.02,15406.78
"CPS3",0,40,13,0,0,1,0,3577.621,10301.52,11911.95
"CPS3",0,35,9,0,0,1,1,11475.43,9397.403,11087.38
"CPS3",0,27,10,0,1,1,1,15711.36,9098.419,17023.41
"CPS3",0,27,6,0,1,1,1,7831.189,9071.565,5661.171
"CPS3",0,36,12,0,0,1,0,25535.12,8695.597,21905.82
"CPS3",0,47,8,1,0,1,1,9275.169,8543.419,0
"CPS3",0,40,11,0,0,1,1,20666.35,8502.242,25564.67
"CPS3",0,27,7,0,0,1,1,3064.293,8461.065,11149.45
"CPS3",0,36,9,1,0,1,1,13256.4,8457.484,0
"CPS3",0,39,6,0,1,1,1,13279.91,8441.371,25048.94
"CPS3",0,21,9,0,0,1,1,11156.07,8441.371,1213.214
"CPS3",0,29,12,0,0,1,0,11199.17,8081.516,0
"CPS3",0,22,13,0,1,0,0,6404.843,7882.79,9453.017
"CPS3",0,25,10,0,0,1,1,13634.54,7793.274,11688.82
"CPS3",0,27,12,0,0,1,0,12270.89,7709.129,7806.829
"CPS3",0,45,8,0,0,1,1,22415.97,7635.726,15931.37
"CPS3",0,26,12,0,0,1,0,2345.242,7565.903,2838.713
"CPS3",0,27,12,0,0,1,0,9788.497,7496.081,14038.4
"CPS3",0,33,8,0,0,1,1,12312.03,7474.597,25514.43
"CPS3",0,25,12,0,0,1,0,11381.38,7467.435,4162.756
"CPS3",0,49,8,0,0,1,1,6459.703,7431.629,7503.896
"CPS3",0,40,3,0,1,1,1,7576.485,7426.258,12104.06
"CPS3",0,22,12,1,0,1,0,9729.719,7372.548,2231.367
"CPS3",0,25,5,0,0,1,1,7891.927,7293.774,14617.67
"CPS3",0,25,12,0,0,1,0,11516.57,7263.339,19588.74
"CPS3",0,21,12,0,0,1,0,13601.23,7202.468,10746.03
"CPS3",0,33,9,0,1,1,1,11959.36,7087.887,25564.67
"CPS3",0,20,12,1,0,1,0,9555.344,7055.661,0
"CPS3",0,19,11,0,0,1,1,4306.468,6978.677,837.871
"CPS3",0,25,12,1,0,1,0,295.8493,6942.871,461.0507
"CPS3",0,29,12,0,0,1,0,15303.83,6932.129,24290.87
"CPS3",0,20,12,0,0,1,0,3558.029,6797.855,6680.802
"CPS3",0,29,6,0,1,1,1,8542.403,6701.177,7196.528
"CPS3",0,25,13,0,0,1,0,19259.59,6652.839,13015.82
"CPS3",0,41,15,0,0,1,0,25862.32,6563.323,24647
"CPS3",0,39,10,0,0,1,1,22745.13,6493.5,25564.67
"CPS3",0,33,12,0,0,1,0,10819.07,6369.968,2936.243
"CPS3",0,29,8,0,0,1,1,9169.369,6352.065,20575.86
"CPS3",0,21,11,0,0,1,1,10679.96,6276.871,10923.35
"CPS3",0,31,12,0,0,1,0,23652.27,6228.532,22403.81
"CPS3",0,36,12,1,0,1,0,11040.47,6221.371,7215.739
"CPS3",0,25,7,0,0,1,1,5597.625,6099.629,122.6513
"CPS3",0,35,7,0,0,1,1,10715.23,6087.097,15177.73
"CPS3",0,22,9,0,0,1,1,5683.833,6038.758,4742.025
"CPS3",0,31,2,0,1,1,1,3262.179,5965.355,9732.307
"CPS3",0,40,15,0,0,1,0,10907.24,5922.387,6238.962
"CPS3",0,47,3,0,0,1,1,9047.894,5911.645,6145.865
"CPS3",0,26,8,0,1,0,1,3168.134,5872.258,11136.15
"CPS3",0,42,7,0,0,1,1,10971.89,5806.016,9241.702
"CPS3",0,53,12,0,0,0,0,17104.4,5775.581,19965.56
"CPS3",0,30,17,1,0,0,0,17827.37,5546.419,14421.13
"CPS3",0,28,10,0,0,1,1,10415.46,5544.629,10289.41
"CPS3",0,46,11,0,0,1,1,14753.28,5299.355,0
"CPS3",0,28,12,0,0,0,0,8256.35,5279.661,21602.88
