treated,age,educ,black,married,nodegree,dwincl,re74,re75,re78,hisp,early_ra,sample
,42,16,0,1,0,,0,0,100.4854,0,,2
,20,13,0,0,0,,2366.794,3317.468,4793.745,0,,2
,37,12,0,1,0,,25862.32,22781.86,25564.67,0,,2
,48,12,0,1,0,,21591.12,20839.36,20550.74,0,,2
,51,12,0,1,0,,21395.19,21575.18,22783.59,0,,2
,18,11,0,0,1,,1310.75,1455.532,2157.481,0,,2
,52,15,0,1,0,,25862.32,25243.55,25564.67,0,,2
,39,16,0,1,0,,25862.32,25243.55,25564.67,0,,2
,44,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,51,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,53,12,0,1,0,,25862.32,25243.55,25427.24,0,,2
,55,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,45,12,0,1,0,,8987.157,10666.74,8096.464,0,,2
,54,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,54,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,51,8,0,1,1,,15973.9,12967.31,0,0,,2
,16,10,0,0,1,,881.67,2391.871,10747.51,0,,2
,17,10,0,0,1,,466.3055,537.0968,4306.095,0,,2
,53,12,0,1,0,,25862.32,4380.919,25564.67,0,,2
,53,12,0,1,0,,10233.25,11305.89,16150.07,0,,2
,53,12,0,1,0,,22884.24,24563.23,24081.03,0,,2
,42,12,0,1,0,,0,580.0645,0,0,,2
,46,11,0,1,1,,25862.32,25243.55,25564.67,0,,2
,49,18,0,1,0,,25862.32,25243.55,25564.67,0,,2
,49,17,0,1,0,,25780.03,25243.55,25564.67,0,,2
,55,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,55,10,0,1,1,,25862.32,22060.36,1536.836,0,,2
,49,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,49,12,0,1,0,,23999.06,23564.23,25564.67,0,,2
,41,12,0,1,0,,17139.67,18447.48,21143.31,0,,2
,52,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,52,12,0,1,0,,21389.32,18300.68,15736.31,0,,2
,44,16,0,1,0,,25862.32,25243.55,25564.67,0,,2
,54,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,44,12,0,1,0,,5999.275,6146.177,3877.554,0,,2
,51,12,0,1,0,,25427.37,13549.16,14803.87,0,,2
,51,9,0,1,1,,0,0,7385.677,0,,2
,51,8,0,1,1,,0,0,0,0,,2
,48,6,0,1,1,,21553.89,19980,2813.591,1,,2
,47,12,0,1,0,,0,5976.097,4523.321,0,,2
,47,12,0,1,0,,19716.1,25243.55,0,0,,2
,47,12,0,1,0,,25862.32,25243.55,25564.67,0,,2
,43,12,0,1,0,,23967.71,19331.9,25564.67,0,,2
,53,16,0,1,0,,22143.63,21457.02,21929.46,0,,2
