days_visited_exp_pre,days_visited_free_pre,days_visited_fs_pre,days_visited_hs_pre,days_visited_rs_pre,days_visited_vrs_pre,locale_en_US,revenue_pre,os_type_osx,os_type_windows,easier_signup,became_member,days_visited_post
1,9,7,25,6,3,1,0.01,0,1,0,0,1
10,25,27,10,27,27,0,2.26,0,0,0,0,15
18,14,8,4,5,2,1,0.03,0,1,0,0,17
17,0,23,2,3,1,1,418.77,0,1,0,0,6
24,9,22,2,3,18,1,1.54,0,0,0,0,12
11,22,5,1,2,14,1,0.09,0,1,1,1,16
15,5,3,15,22,12,0,0.04,0,0,0,0,3
11,2,5,16,1,16,1,0.19,0,0,0,0,1
27,7,16,21,22,15,0,27.08,0,0,1,1,14
0,7,15,9,12,13,0,0.38,0,0,1,1,1
23,7,16,25,25,4,1,9.12,0,1,1,1,6
4,12,15,25,2,24,1,4.31,0,0,0,0,3
8,19,13,22,19,22,1,329.45,1,0,0,0,10
10,1,16,26,13,19,1,1.33,0,1,1,0,-1
10,24,4,20,28,15,1,0.11,0,1,1,1,16
12,2,4,0,20,0,0,0.68,1,0,0,0,3
11,27,26,2,25,23,0,1417.94,1,0,1,1,16
20,0,4,23,27,16,1,23.77,0,0,1,0,0
11,23,24,7,22,8,1,0.1,1,0,0,0,15
15,16,3,0,14,27,1,316.3,1,0,1,0,15
18,1,23,5,16,2,1,8.44,1,0,0,0,-7
22,28,2,4,11,23,0,61.06,1,0,1,1,19
6,5,16,5,10,28,0,0.04,0,1,0,0,-2
23,8,1,22,20,25,1,0.06,1,0,1,0,0
2,13,24,7,19,17,0,0.19,0,1,0,0,12
14,2,5,11,16,16,1,0.01,0,0,0,0,7
6,19,1,11,15,13,0,1.48,0,0,1,0,17
10,9,24,8,5,2,1,0.66,0,1,0,0,11
2,23,6,21,12,5,1,0.98,1,0,0,0,11
15,25,16,11,21,21,1,0.03,0,1,0,0,12
4,2,1,12,22,0,0,2.94,0,1,0,0,9
13,11,2,13,10,8,1,1.27,1,0,0,0,12
20,21,28,22,9,10,1,26.74,0,0,0,0,7
23,15,2,17,2,8,0,3.5,0,1,0,0,7
20,14,15,9,9,11,0,1.36,1,0,0,0,9
20,2,3,11,13,7,0,6.0,0,1,1,1,4
20,1,25,19,1,19,0,0.63,0,0,1,0,0
13,24,7,27,26,17,1,0.01,0,1,0,0,21
27,11,21,26,4,12,0,0.0,0,1,0,0,15
5,27,28,16,0,24,0,0.18,1,0,0,0,14
17,0,3,5,25,12,0,1.33,0,1,0,0,4
23,20,3,14,2,7,0,3.11,0,1,0,0,4
4,2,25,27,2,28,1,5.32,0,1,1,0,1
11,19,22,3,20,20,1,0.01,1,0,1,0,2
3,2,18,20,0,10,1,15.53,1,0,1,0,-3
7,10,25,21,7,0,1,11.79,1,0,0,0,0
16,1,23,26,5,6,0,9.0,1,0,0,0,6
28,28,12,16,24,19,1,0.03,1,0,1,1,32
2,27,28,11,5,27,0,0.96,0,1,0,0,12
18,3,11,19,28,20,1,351.4,1,0,1,0,1
15,14,28,19,7,0,0,0.27,0,0,0,0,4
15,23,10,27,6,26,0,308.18,0,0,0,0,11
0,26,6,22,13,19,1,0.34,0,1,0,0,15
27,21,19,11,1,10,1,9.03,0,0,1,0,10
20,19,15,6,26,1,0,0.38,0,1,1,1,22
26,16,10,14,7,13,0,0.5,1,0,0,0,5
17,25,6,8,16,1,0,13.09,0,1,0,0,7
10,20,23,10,7,27,1,0.12,0,0,1,1,20
14,6,25,7,20,11,0,1150.68,1,0,1,0,5
28,27,28,25,17,22,1,0.48,1,0,0,0,5
20,3,26,6,7,21,1,0.5,0,1,1,0,0
14,10,19,21,23,23,1,255.03,0,0,1,1,16
12,16,10,9,15,28,0,24.88,1,0,0,0,13
4,20,0,28,18,7,1,630.12,1,0,0,0,16
21,27,27,5,2,20,1,1.04,0,0,0,0,25
20,8,2,12,8,23,0,0.16,1,0,1,1,7
14,23,0,7,17,6,1,1.61,0,0,1,1,20
7,15,4,12,6,26,1,0.01,0,0,0,0,9
7,17,28,15,1,22,0,1.65,0,0,0,0,4
4,13,19,10,9,4,1,1.6,0,0,0,0,3
18,11,26,6,11,19,1,34.01,1,0,0,0,13
1,18,22,8,13,13,0,1.65,0,1,0,0,16
10,19,17,22,0,19,0,0.25,0,0,1,0,4
4,0,11,17,23,19,0,0.02,1,0,1,1,7
17,2,12,4,15,25,0,1.74,1,0,1,1,10
20,5,27,18,20,14,0,0.16,0,1,1,0,-3
18,14,14,10,20,22,0,56.66,1,0,1,1,6
28,0,14,9,21,20,0,14.73,0,1,1,0,-5
5,23,17,3,23,25,1,0.01,0,0,1,1,17
18,6,2,28,6,15,0,0.01,1,0,1,0,0
21,1,8,10,3,3,0,0.22,0,0,1,0,-4
24,28,27,6,20,24,1,1.19,1,0,1,1,30
19,8,5,10,24,2,0,0.05,1,0,1,0,-2
12,22,22,14,17,6,0,75.66,0,0,1,1,21
28,11,23,12,26,13,0,33.15,1,0,1,1,4
10,16,28,16,22,23,0,0.17,0,1,1,1,19
25,19,12,17,27,11,0,0.11,1,0,1,1,6
19,15,5,8,9,14,1,0.0,0,0,1,1,4
2,11,15,2,14,20,1,1.97,0,1,1,1,4
3,10,19,22,10,3,0,0.09,1,0,1,1,2
9,22,3,17,10,8,1,37.09,0,1,1,0,5
28,9,6,4,2,19,0,0.24,0,0,0,0,0
16,10,4,20,24,10,1,0.7,0,0,1,0,13
3,18,9,25,19,23,0,2.08,0,0,1,1,13
0,16,23,9,16,4,0,0.42,1,0,0,1,22
5,11,17,15,23,4,0,0.01,1,0,0,0,15
17,1,24,14,15,23,0,18.13,1,0,0,0,-1
4,7,8,18,25,8,0,1.16,0,0,0,0,13
28,15,7,24,3,7,0,0.2,0,1,1,1,10
18,15,12,18,22,25,0,8.29,0,0,0,0,7
10,19,12,7,17,21,0,0.14,0,1,1,1,23
7,17,13,22,8,24,1,157.09,0,1,0,0,13
13,25,26,3,16,20,0,26.03,0,1,0,0,12
17,24,11,15,19,12,0,0.0,0,0,0,0,10
0,5,10,9,8,12,1,5.96,1,0,0,0,0
3,14,14,6,5,26,0,0.13,1,0,0,0,10
24,21,2,5,27,4,0,0.68,1,0,0,0,14
7,18,11,4,7,23,1,5.89,1,0,0,0,2
4,10,13,0,21,14,1,0.0,0,0,1,1,9
12,0,10,17,21,0,1,51.83,0,0,1,0,-1
0,28,10,18,6,25,0,95.85,0,1,0,0,20
12,27,21,5,6,15,0,0.95,1,0,0,0,15
4,22,6,0,21,12,1,0.9,1,0,1,1,14
16,4,21,13,2,5,0,0.37,1,0,1,1,6
5,15,10,23,19,17,0,0.02,1,0,0,0,19
6,4,24,2,11,3,1,0.0,0,1,1,0,-3
27,7,24,24,26,16,0,44.85,1,0,1,0,15
1,5,23,5,7,9,0,0.61,0,1,1,0,-2
20,1,11,16,1,26,1,0.04,0,0,1,0,2
4,23,14,1,1,28,1,0.05,0,1,1,1,26
22,18,20,3,4,0,1,0.14,0,0,0,0,7
20,10,15,12,18,2,0,2.02,1,0,0,0,4
7,28,8,26,15,10,1,2.04,0,1,1,1,17
26,3,3,28,14,25,0,0.14,0,1,0,0,8
3,28,19,3,5,1,0,1.23,0,1,0,0,24
1,18,22,19,14,25,0,3.13,1,0,1,1,5
17,21,2,10,19,24,0,4.08,1,0,1,0,15
6,9,22,2,25,4,1,0.05,0,0,0,0,12
2,23,27,5,12,21,0,177.21,0,0,0,0,6
7,25,21,9,11,17,0,1.4,0,0,0,0,11
2,15,1,24,6,14,0,1.26,0,0,0,0,7
2,18,12,9,2,23,0,3.34,0,1,0,0,6
6,14,24,5,26,10,1,16.77,0,1,1,0,9
23,16,19,7,27,11,0,0.0,1,0,1,1,21
5,15,22,15,13,15,1,0.73,0,0,0,0,19
4,11,21,17,17,22,1,78.58,0,0,1,0,1
21,20,20,13,11,21,0,0.44,0,0,1,1,17
3,23,17,2,21,27,1,2.29,0,0,1,1,26
6,8,12,19,3,27,0,0.0,0,1,1,1,9
2,2,9,0,19,13,1,0.08,0,0,0,0,10
13,18,13,10,13,16,1,819.28,1,0,0,0,8
19,19,16,7,0,4,1,0.35,0,0,1,1,15
22,9,25,15,0,1,0,5.38,1,0,0,0,5
7,5,1,17,5,27,1,0.78,0,1,1,0,0
20,23,11,2,9,17,0,0.03,1,0,1,1,20
12,6,23,21,0,11,0,0.0,0,1,1,1,-3
1,26,6,12,4,11,1,3.28,1,0,1,1,33
12,5,19,15,0,25,1,2.86,0,0,1,1,4
